,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
2271,1964-014,1964-014-01,1964-014-01-01,1964-014-01-01-01,12/7/1964,1,379 U.S. 184,85 S. Ct. 283,13 L. Ed. 2d 222,1964 U.S. LEXIS 63,1964,1408,Warren,11,MCLAUGHLIN et al. v. FLORIDA,10/13/1964,,100,,28,12,2,,,0,302,12,300,12,0,1,2,1,3,3,0,1,0,0,20040,2,2,0,2,,2,231,,95,90,1,9,0
2274,1964-017,1964-017-01,1964-017-01-01,1964-017-01-01-01,12/14/1964,1,379 U.S. 241,85 S. Ct. 348,13 L. Ed. 2d 258,1964 U.S. LEXIS 2187,1964,1408,Warren,515,"HEART OF ATLANTA MOTEL, INC. v. UNITED STATES et al.",10/5/1964,,122,,27,,2,,,1,60,,60,,0,1,,2,1,2,0,0,0,0,20040,2,2,0,1,,3,381,,88,90,1,9,0
2275,1964-018,1964-018-01,1964-018-01-01,1964-018-01-01-01,12/14/1964,1,379 U.S. 294,85 S. Ct. 377,13 L. Ed. 2d 290,1964 U.S. LEXIS 2188,1964,1408,Warren,543,"KATZENBACH, ACTING ATTORNEY GENERAL, et al. v. MCCLUNG et al.",10/5/1964,,1,,228,,2,,,1,42,,42,,0,1,,1,1,3,0,1,0,0,20040,2,2,0,1,,3,381,,88,90,1,9,0
2276,1964-019,1964-019-01,1964-019-01-01,1964-019-01-01-01,12/14/1964,1,379 U.S. 306,85 S. Ct. 384,13 L. Ed. 2d 300,1964 U.S. LEXIS 4,1964,1408,Warren,2,HAMM v. CITY OF ROCK HILL,10/12/1964,,223,,3,48,1,,,0,302,48,300,48,0,12,2,1,1,8,0,1,0,0,20080,2,2,0,4,,3,381,,88,90,1,5,4
2277,1964-020,1964-020-01,1964-020-01-01,1964-020-01-01-01,12/14/1964,1,379 U.S. 329,85 S. Ct. 427,13 L. Ed. 2d 315,1964 U.S. LEXIS 2147,1964,1408,Warren,16,"KING, EXECUTRIX, et al. v. UNITED STATES",10/19/1964,,114,,27,,1,,,0,92,,23,,0,2,3,1,1,2,0,0,0,0,80030,8,1,0,4,,6,600,31 U.S.C. § 191,91,90,1,7,2
2278,1964-021,1964-021-01,1964-021-01-01,1964-021-01-01-01,12/14/1964,1,379 U.S. 343,85 S. Ct. 419,13 L. Ed. 2d 324,1964 U.S. LEXIS 2158,1964,1408,Warren,22,"ALL STATES FREIGHT, INC., et al. v. NEW YORK, NEW HAVEN & HARTFORD RAILROAD CO. et al.",10/21/1964,,245,,231,,2,66,,1,53,,53,,0,1,8,2,1,2,0,0,0,0,90120,9,2,0,4,5,3,343,,94,81,1,5,4
2279,1964-022,1964-022-01,1964-022-01-01,1964-022-01-01-01,11/23/1964,5,379 U.S. 130,85 S. Ct. 271,13 L. Ed. 2d 333,1964 U.S. LEXIS 2285,1964,1408,Warren,55,"INDEPENDENT PETROLEUM WORKERS OF AMERICA, INC. v. AMERICAN OIL CO.",11/9/1964,,249,,198,,1,,,0,66,,27,,0,,4,1,1,2,0,0,0,0,70010,7,1,0,3,,,,,,,1,4,4
2280,1964-023,1964-023-01,1964-023-01-01,1964-023-01-01-01,12/7/1964,2,379 U.S. 199,85 S. Ct. 307,13 L. Ed. 2d 338,1964 U.S. LEXIS 64,1964,1408,Warren,130,RAILWAY LABOR EXECUTIVES' ASSOCIATION et al. v. UNITED STATES et al.,,,145,,27,,2,66,,1,126,,126,,0,1,,1,1,5,0,1,0,0,90120,9,2,0,3,,,,,,90,1,9,0
2281,1964-024,1964-024-01,1964-024-01-01,1964-024-01-01-01,1/12/1965,2,379 U.S. 359,85 S. Ct. 503,13 L. Ed. 2d 352,1965 U.S. LEXIS 2204,1964,1408,Warren,624,"PARSONS, TOWN CLERK OF THE TOWN OF HUBBARDTON, et al. v. BUCKLEY et al.",,,19,53,251,,2,,,1,124,,124,,0,1,,1,1,2,1,1,0,0,20090,2,2,0,3,,,,,,90,1,8,1
2284,1964-027,1964-027-01,1964-027-01-01,1964-027-01-01-01,1/18/1965,1,379 U.S. 411,85 S. Ct. 551,13 L. Ed. 2d 386,1965 U.S. LEXIS 2654,1964,1408,Warren,26,WHITNEY NATIONAL BANK IN JEFFERSON PARISH v. BANK OF NEW ORLEANS & TRUST CO. et al.,11/12/1964,,113,,113,,1,54,,0,55,,32,,0,13,2,2,1,4,0,1,0,0,90120,9,1,0,5,4,6,600,12 U.S.C. § 1848,88,90,1,7,2
2285,1964-028,1964-028-01,1964-028-01-01,1964-028-01-01-01,1/18/1965,1,379 U.S. 433,85 S. Ct. 498,13 L. Ed. 2d 401,1965 U.S. LEXIS 2005,1964,1408,Warren,178,"FORTSON, SECRETARY OF STATE OF GEORGIA v. DORSEY et al.",12/10/1964,,19,13,251,,2,,,1,60,,60,,0,1,,2,1,3,0,1,0,0,20090,2,1,0,2,,2,231,,92,90,1,8,1
2286,1964-029,1964-029-01,1964-029-01-01,1964-029-01-01-01,1/18/1965,1,379 U.S. 443,85 S. Ct. 564,13 L. Ed. 2d 408,1965 U.S. LEXIS 2006,1964,1408,Warren,6,HENRY v. MISSISSIPPI,10/13/1964,,100,,28,29,1,,,0,302,29,300,29,0,12,2,2,1,5,0,1,0,1,90180,9,1,0,3,,,,,92,90,1,6,3
2287,1964-030,1964-030-01,1964-030-01-01,1964-030-01-01-01,1/18/1965,1,379 U.S. 466,85 S. Ct. 546,13 L. Ed. 2d 424,1965 U.S. LEXIS 2007,1964,1408,Warren,53,TURNER v. LOUISIANA,11/19/1964,,100,,28,22,1,,,0,302,22,300,22,0,11,2,1,1,4,0,1,0,0,10210,1,2,0,2,,2,215,,94,90,1,8,1
2288,1964-031,1964-031-01,1964-031-01-01,1964-031-01-01-01,1/18/1965,1,379 U.S. 476,85 S. Ct. 506,13 L. Ed. 2d 431,1965 U.S. LEXIS 2380,1964,1408,Warren,40,STANFORD v. TEXAS,11/12/1964,,117,,28,51,1,,,0,302,51,302,51,0,12,,1,3,5,0,1,0,0,10050,1,2,0,2,,2,205,,94,90,1,9,0
2289,1964-032,1964-032-01,1964-032-01-01,1964-032-01-01-01,1/18/1965,1,379 U.S. 487,85 S. Ct. 493,13 L. Ed. 2d 439,1965 U.S. LEXIS 2241,1964,1408,Warren,60,"JANKOVICH et al., DOING BUSINESS AS CALUMET AVIATION CO. v. INDIANA TOLL ROAD COMMISSION",12/10/1964,,241,,4,18,1,,,0,302,18,300,18,0,10,3,1,1,9,0,0,0,0,90180,9,1,0,3,4,6,600,49 U.S.C. § 1101,95,90,1,7,2
2290,1964-033,1964-033-01,1964-033-01-01,1964-033-01-01-01,1/18/1965,1,379 U.S. 497,85 S. Ct. 577,13 L. Ed. 2d 446,1965 U.S. LEXIS 2230,1964,1408,Warren,38,CITY OF EL PASO v. SIMMONS,11/17/1964,,3,51,195,,2,,,0,122,,25,,0,1,3,1,1,3,0,1,0,0,80110,8,2,0,2,,1,128,,95,90,1,8,1
2291,1964-034,1964-034-01,1964-034-01-01,1964-034-01-01-01,1/18/1965,1,379 U.S. 536,85 S. Ct. 453,13 L. Ed. 2d 471,1965 U.S. LEXIS 2008,1964,1408,Warren,24,COX v. LOUISIANA,10/21/1964,,223,,28,22,2,,,0,302,22,300,22,0,1,2,1,3,3,0,1,0,0,30150,3,2,0,2,,2,200,,96,90,1,9,0
2293,1964-036,1964-036-01,1964-036-01-01,1964-036-01-01-01,1/18/1965,1,379 U.S. 594,85 S. Ct. 513,13 L. Ed. 2d 510,1965 U.S. LEXIS 2329,1964,1408,Warren,35,SECURITIES AND EXCHANGE COMMISSION v. AMERICAN TRAILER RENTALS CO.,11/10/1964,,405,,114,,1,105,,0,52,,30,,0,12,2,1,1,4,0,1,0,0,80030,8,2,0,4,,3,307,,96,90,1,9,0
2295,1964-038,1964-038-01,1964-038-01-01,1964-038-01-01-01,1/25/1965,1,379 U.S. 650,85 S. Ct. 614,13 L. Ed. 2d 580,1965 U.S. LEXIS 2325,1964,1408,Warren,43,REPUBLIC STEEL CORP. v. MADDOX,11/18/1964,,151,,145,,1,,,0,302,1,300,1,0,11,2,2,1,3,0,1,0,0,70010,7,1,0,4,,3,350,,91,90,1,8,1
2296,1964-039,1964-039-01,1964-039-01-01,1964-039-01-01-01,1/25/1965,2,379 U.S. 671,85 S. Ct. 636,13 L. Ed. 2d 594,1965 U.S. LEXIS 1962,1964,1408,Warren,560,DAVIS v. BALTIMORE & OHIO RAILROAD CO.,,,145,,231,,1,,,0,302,25,300,25,0,12,3,1,1,3,0,1,0,0,80040,8,2,0,4,,3,329,,,90,1,9,0
2297,1964-040,1964-040-01,1964-040-01-01,1964-040-01-01-01,2/1/1965,1,379 U.S. 674,85 S. Ct. 626,13 L. Ed. 2d 596,1965 U.S. LEXIS 1894,1964,1408,Warren,13 ORIG,TEXAS v. NEW JERSEY et al.,11/9/1964,,28,51,28,35,9,,,0,,,,,0,1,,,1,,0,1,0,0,110020,11,3,0,7,,,,,78,90,1,8,1
2298,1964-041,1964-041-01,1964-041-01-01,1964-041-01-01-01,2/1/1965,2,379 U.S. 684,85 S. Ct. 635,13 L. Ed. 2d 603,1965 U.S. LEXIS 1895,1964,1408,Warren,387,BLOW et al. v. NORTH CAROLINA,,,223,,28,38,1,,,0,302,38,300,38,0,12,2,1,1,5,0,1,0,0,20080,2,2,0,4,,3,381,,,90,1,5,4
2299,1964-042,1964-042-01,1964-042-01-01,1964-042-01-01-01,2/1/1965,2,379 U.S. 687,85 S. Ct. 632,13 L. Ed. 2d 605,1965 U.S. LEXIS 1896,1964,1408,Warren,585,FEDERAL POWER COMMISSION v. AMERADA PETROLEUM CORP. et al.,,,352,,198,,1,52,,0,28,,28,,0,12,3,1,1,3,0,1,0,0,80310,8,2,0,5,7,5,507,,,90,1,9,0
2300,1964-043,1964-043-01,1964-043-01-01,1964-043-01-01-01,3/1/1965,1,380 U.S. 1,85 S. Ct. 792,13 L. Ed. 2d 616,1965 U.S. LEXIS 2228,1964,1408,Warren,34,"UDALL, SECRETARY OF THE INTERIOR v. TALLMAN et al.",10/22/1964,,326,,241,,1,26,,0,55,,32,,0,12,3,2,1,3,0,1,0,0,90120,9,1,0,5,,5,511,,90,90,1,7,0
2301,1964-044,1964-044-01,1964-044-01-01,1964-044-01-01-01,3/1/1965,1,380 U.S. 24,85 S. Ct. 783,13 L. Ed. 2d 630,1965 U.S. LEXIS 1730,1964,1408,Warren,42,SINGER v. UNITED STATES,11/18/1964,,100,,27,,1,,,0,51,,29,,0,12,2,1,1,2,0,0,0,0,10370,1,1,0,4,,4,401,,90,90,1,9,0
2302,1964-045,1964-045-01,1964-045-01-01,1964-045-01-01-01,3/1/1965,1,380 U.S. 39,85 S. Ct. 769,13 L. Ed. 2d 641,1965 U.S. LEXIS 1731,1964,1408,Warren,116,CRIDER v. ZURICH INSURANCE CO.,1/19/1965,,145,,171,,1,,,0,42,,25,,0,12,2,1,1,3,0,1,0,0,80050,8,2,0,2,,1,143,,81,90,1,6,3
2303,1964-046,1964-046-01,1964-046-01-01,1964-046-01-01-01,3/1/1965,1,380 U.S. 51,85 S. Ct. 734,13 L. Ed. 2d 649,1965 U.S. LEXIS 1732,1964,1408,Warren,69,FREEDMAN v. MARYLAND,11/19/1964,,242,,28,25,2,,,0,302,25,300,25,0,1,2,1,3,3,0,1,0,0,30010,3,2,0,2,,2,200,,92,90,1,9,0
2304,1964-047,1964-047-01,1964-047-01-01,1964-047-01-01-01,3/1/1965,1,380 U.S. 63,85 S. Ct. 754,13 L. Ed. 2d 658,1965 U.S. LEXIS 1733,1964,1408,Warren,13,UNITED STATES v. GAINEY,10/15/1964,,27,,118,,1,,,0,59,,25,,0,11,3,2,1,3,0,1,0,0,10090,1,1,0,1,,6,600,26 U.S.C. § 5601,94,90,1,7,2
2305,1964-048,1964-048-01,1964-048-01-01,1964-048-01-01-01,3/1/1965,1,380 U.S. 89,85 S. Ct. 775,13 L. Ed. 2d 675,1965 U.S. LEXIS 1734,1964,1408,Warren,82,CARRINGTON v. RASH et al.,1/28/1965,,186,,19,51,1,,,0,300,51,300,51,1,12,,1,3,3,0,1,0,0,20010,2,2,0,2,,2,231,,94,78,1,7,1
2306,1964-049,1964-049-01,1964-049-01-01,1964-049-01-01-01,3/1/1965,1,380 U.S. 102,85 S. Ct. 741,13 L. Ed. 2d 684,1965 U.S. LEXIS 2438,1964,1408,Warren,28,UNITED STATES v. VENTRESCA,1/18/1965,,27,,118,,1,,,0,80,,21,,1,11,3,2,1,3,0,1,0,0,10050,1,1,0,1,,2,205,,96,78,1,7,2
2307,1964-050,1964-050-01,1964-050-01-01,1964-050-01-01-01,2/1/1965,2,379 U.S. 694,85 S. Ct. 713,13 L. Ed. 2d 698,1965 U.S. LEXIS 1899,1964,1408,Warren,623,"HUGHES et al. v. WMCA, INC., et al.",,,19,37,251,,2,,,1,96,,96,,0,1,,2,1,2,0,0,0,0,20090,2,2,0,3,,,,,,90,1,7,2
2308,1964-051,1964-051-01,1964-051-01-01,1964-051-01-01-01,2/1/1965,2,379 U.S. 693,85 S. Ct. 715,13 L. Ed. 2d 699,1965 U.S. LEXIS 1898,1964,1408,Warren,661,FORTY-FOURTH GENERAL ASSEMBLY OF COLORADO et al. v. LUCAS et al.,,,17,7,251,,2,,,1,52,,52,,0,1,,1,1,5,1,1,0,0,20090,2,2,0,3,,,,,,90,1,9,0
2309,1964-052,1964-052-01,1964-052-01-01,1964-052-01-01-01,3/8/1965,1,380 U.S. 145,85 S. Ct. 817,13 L. Ed. 2d 709,1965 U.S. LEXIS 1665,1964,1408,Warren,67,LOUISIANA et al. v. UNITED STATES,1/26/1965,,28,22,27,,2,,,1,75,,75,,0,1,,2,3,2,0,0,0,0,20010,2,2,0,4,3,3,379,,78,90,1,9,0
2310,1964-053,1964-053-01,1964-053-01-01,1964-053-01-01-01,3/8/1965,1,380 U.S. 128,85 S. Ct. 808,13 L. Ed. 2d 717,1965 U.S. LEXIS 1664,1964,1408,Warren,73,UNITED STATES v. MISSISSIPPI et al.,1/26/1965,,27,,28,29,2,,,1,85,,85,,1,1,9,1,1,4,0,1,0,0,20010,2,2,0,4,,3,379,,78,90,1,9,0
2311,1964-054,1964-054-01,1964-054-01-01,1964-054-01-01-01,3/8/1965,1,380 U.S. 157,85 S. Ct. 868,13 L. Ed. 2d 728,1965 U.S. LEXIS 2435,1964,1408,Warren,232,UNITED STATES v. BOSTON & MAINE RAILROAD et al.,1/21/1965,,27,,231,,2,,,0,80,,80,,0,1,,1,1,5,0,1,0,0,80010,8,2,0,4,,3,310,,81,90,1,9,0
2312,1964-055,1964-055-01,1964-055-01-01,1964-055-01-01-01,3/8/1965,1,380 U.S. 163,85 S. Ct. 850,13 L. Ed. 2d 733,1965 U.S. LEXIS 1666,1964,1408,Warren,50,UNITED STATES v. SEEGER,11/16/1964,,27,,142,,1,,,0,96,,22,,0,10,3,2,1,2,0,0,0,0,30130,3,2,0,4,,3,366,,88,90,1,9,0
2314,1964-057,1964-057-01,1964-057-01-01,1964-057-01-01-01,3/8/1965,1,380 U.S. 202,85 S. Ct. 824,13 L. Ed. 2d 759,1965 U.S. LEXIS 1668,1964,1408,Warren,64,SWAIN v. ALABAMA,12/8/1964,,100,,28,1,1,,,0,302,1,300,1,0,12,2,1,1,2,0,0,0,0,20040,2,1,0,2,,2,231,,95,78,1,6,3
2315,1964-058,1964-058-01,1964-058-01-01,1964-058-01-01-01,3/15/1965,6,380 U.S. 255,85 S. Ct. 876,13 L. Ed. 2d 789,1965 U.S. LEXIS 2311,1964,1408,Warren,61,"RADIO & TELEVISION BROADCAST TECHNICIANS LOCAL UNION 1264, INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, AFL-CIO, et al. v. BROADCAST SERVICE OF MOBILE, INC.",3/2/1965,,249,,221,,1,,,0,302,1,300,1,0,12,3,1,1,3,0,1,0,0,100020,10,2,0,4,,3,356,,,90,1,9,0
2317,1964-060,1964-060-01,1964-060-01-01,1964-060-01-01-01,3/8/1965,6,380 U.S. 249,85 S. Ct. 934,13 L. Ed. 2d 818,1965 U.S. LEXIS 2437,1964,1408,Warren,501,"HUGHES TOOL CO. v. TRANS WORLD AIRLINES, INC., et al.",3/4/1965,,237,,104,,1,,,0,96,,22,,0,12,,1,1,9,0,0,0,0,90150,9,1,0,3,,5,508,,,90,1,9,0
2318,1964-061,1964-061-01,1964-061-01-01,1964-061-01-01-01,3/8/1965,2,380 U.S. 251,85 S. Ct. 936,13 L. Ed. 2d 818,1965 U.S. LEXIS 1671,1964,1408,Warren,774,"DAVIS, ASSESSOR-COLLECTOR OF TAXES, BEXAR COUNTY, TEXAS, et al. v. MABRY et al.",,,186,,19,51,2,,,0,122,,122,,0,1,,2,1,2,0,0,0,0,20010,2,2,0,7,,,,,,90,1,8,1
2319,1964-062,1964-062-01,1964-062-01-01,1964-062-01-01-01,3/29/1965,1,380 U.S. 263,85 S. Ct. 994,13 L. Ed. 2d 827,1965 U.S. LEXIS 2305,1964,1408,Warren,37,TEXTILE WORKERS UNION OF AMERICA v. DARLINGTON MANUFACTURING CO. et al.,12/9/1964,,249,,151,,1,82,,0,24,,24,,1,10,3,1,1,5,0,1,0,0,70200,7,2,0,4,,3,356,,91,90,1,7,0
2320,1964-063,1964-063-01,1964-063-01-01,1964-063-01-01-01,3/29/1965,1,380 U.S. 278,85 S. Ct. 980,13 L. Ed. 2d 839,1965 U.S. LEXIS 2306,1964,1408,Warren,7,"NATIONAL LABOR RELATIONS BOARD v. BROWN et al., DBA BROWN FOOD STORE, et al.",1/19/1965,,382,,151,,1,82,,0,30,,30,,0,12,3,1,1,2,0,0,0,0,70200,7,1,0,4,5,3,356,,92,90,1,8,1
2321,1964-064,1964-064-01,1964-064-01-01,1964-064-01-01-01,3/29/1965,1,380 U.S. 300,85 S. Ct. 955,13 L. Ed. 2d 855,1965 U.S. LEXIS 2310,1964,1408,Warren,255,AMERICAN SHIP BUILDING CO. v. NATIONAL LABOR RELATIONS BOARD,1/21/1965,,151,,382,,1,82,,0,32,,32,,0,4,2,2,1,3,0,1,0,0,70080,7,1,0,4,,3,356,,94,90,1,9,0
2322,1964-065,1964-065-01,1964-065-01-01,1964-065-01-01-01,3/29/1965,1,380 U.S. 343,85 S. Ct. 1004,13 L. Ed. 2d 882,1965 U.S. LEXIS 2304,1964,1408,Warren,365,SANSONE v. UNITED STATES,3/10/1965,,100,,27,,1,108,,0,,,28,,1,11,2,1,1,2,0,0,0,0,10220,1,1,0,3,7,3,345,,96,90,1,7,2
2323,1964-066,1964-066-01,1964-066-01-01,1964-066-01-01-01,3/29/1965,2,380 U.S. 356,85 S. Ct. 992,13 L. Ed. 2d 892,1965 U.S. LEXIS 1537,1964,1408,Warren,89,HENRY v. COLLINS,,,223,,19,29,1,,,0,302,29,300,29,0,12,2,1,1,3,0,1,0,0,30030,3,2,0,2,,2,200,,,90,1,9,0
2324,1964-067,1964-067-01,1964-067-01-01,1964-067-01-01-01,3/29/1965,2,380 U.S. 359,85 S. Ct. 1012,13 L. Ed. 2d 895,1965 U.S. LEXIS 2211,1964,1408,Warren,307,"O'KEEFFE, DEPUTY COMMISSIONER, BUREAU OF EMPLOYEES' COMPENSATION, U.S. DEPARTMENT OF LABOR v. SMITH, HINCHMAN & GRYLLS ASSOCIATES, INC., et al.",,,331,,176,,1,31,,0,56,,25,,0,12,3,1,1,3,0,1,0,0,80070,8,2,0,5,4,6,600,42 U.S.C. § 1651,,90,1,5,4
2325,1964-068,1964-068-01,1964-068-01-01,1964-068-01-01-01,4/5/1965,1,380 U.S. 374,85 S. Ct. 1035,13 L. Ed. 2d 904,1965 U.S. LEXIS 2300,1964,1408,Warren,62,FEDERAL TRADE COMMISSION v. COLGATE-PALMOLIVE CO. et al.,12/10/1964,,357,,101,,1,57,,0,21,,21,,0,11,8,1,1,4,0,1,0,0,80010,8,2,0,5,4,3,337,,90,90,1,7,2
2326,1964-069,1964-069-01,1964-069-01-01,1964-069-01-01-01,4/5/1965,1,380 U.S. 400,85 S. Ct. 1065,13 L. Ed. 2d 923,1965 U.S. LEXIS 1481,1964,1408,Warren,577,POINTER v. TEXAS,3/15/1965,,100,,28,51,1,,,0,302,51,300,51,0,10,2,1,1,4,0,1,1,0,10270,1,2,0,2,,2,213,,78,90,1,9,0
2327,1964-070,1964-070-01,1964-070-01-01,1964-070-01-01-01,4/5/1965,1,380 U.S. 415,85 S. Ct. 1074,13 L. Ed. 2d 934,1965 U.S. LEXIS 1482,1964,1408,Warren,313,DOUGLAS v. ALABAMA,3/9/1965,,100,,28,1,1,,,0,302,1,301,1,0,12,2,1,1,4,0,1,0,0,10270,1,2,0,2,,2,213,,92,90,1,9,0
2328,1964-071,1964-071-01,1964-071-01-01,1964-071-01-01-01,4/5/1965,1,380 U.S. 424,85 S. Ct. 1050,13 L. Ed. 2d 941,1965 U.S. LEXIS 1483,1964,1408,Warren,437,BURNETT v. NEW YORK CENTRAL RAILROAD CO.,3/11/1965,,145,,231,,1,,,0,104,,26,,0,11,2,1,1,4,0,1,0,0,80050,8,2,0,4,,3,329,,96,90,1,9,0
2329,1964-072,1964-072-01,1964-072-01-01,1964-072-01-01-01,4/5/1965,1,380 U.S. 438,85 S. Ct. 1061,13 L. Ed. 2d 951,1965 U.S. LEXIS 2301,1964,1408,Warren,98,NATIONAL LABOR RELATIONS BOARD v. METROPOLITAN LIFE INSURANCE CO.,1/21/1965,,382,,171,,1,82,,0,21,,21,,0,4,3,1,1,5,0,1,0,0,70070,7,2,0,5,4,3,356,,96,90,1,8,1
2330,1964-073,1964-073-01,1964-073-01-01,1964-073-01-01-01,4/5/1965,6,380 U.S. 445,85 S. Ct. 1059,13 L. Ed. 2d 957,1965 U.S. LEXIS 1484,1964,1408,Warren,761,JENKINS v. UNITED STATES,4/1/1965,,100,,27,,1,,,0,55,,32,,1,11,2,1,1,4,0,1,0,0,10220,1,2,0,3,,,,,,90,1,7,2
2331,1964-074,1964-074-01,1964-074-01-01,1964-074-01-01-01,3/15/1965,6,380 U.S. 258,85 S. Ct. 951,13 L. Ed. 2d 959,1965 U.S. LEXIS 1610,1964,1408,Warren,96,"RESERVE LIFE INSURANCE CO. v. BOWERS, TAX COMMISSIONER OF OHIO.",3/4/1965,,171,,19,41,2,117,41,0,301,41,301,41,0,1,2,2,3,4,0,1,0,0,80100,8,1,0,7,,,,,,90,1,7,1
2332,1964-075,1964-075-01,1964-075-01-01,1964-075-01-01-01,4/26/1965,1,380 U.S. 451,85 S. Ct. 1130,14 L. Ed. 2d 1,1965 U.S. LEXIS 2215,1964,1408,Warren,19,AMERICAN OIL CO. v. NEILL et al.,1/25/1965,,198,,19,16,2,117,16,0,302,16,300,16,0,1,3,2,3,4,0,1,0,0,80100,8,1,0,2,,2,230,,90,90,1,8,1
2334,1964-077,1964-077-01,1964-077-01-01,1964-077-01-01-01,4/26/1965,1,380 U.S. 479,85 S. Ct. 1116,14 L. Ed. 2d 22,1965 U.S. LEXIS 1351,1964,1408,Warren,52,"DOMBROWSKI et al. v. PFISTER, CHAIRMAN, JOINT LEGISLATIVE COMMITTEE ON UNAMERICAN ACTIVITIES OF THE LOUISIANA LEGISLATURE, et al.",1/25/1965,,223,,19,22,2,,,1,75,,75,,0,1,9,1,3,4,0,1,0,0,30010,3,2,0,2,,2,201,,92,90,1,5,2
2336,1964-079,1964-079-01,1964-079-01-01,1964-079-01-01-01,4/26/1965,6,380 U.S. 513,85 S. Ct. 1153,14 L. Ed. 2d 46,1965 U.S. LEXIS 1353,1964,1408,Warren,65,VETERANS OF THE ABRAHAM LINCOLN BRIGADE v. SUBVERSIVE ACTIVITIES CONTROL BOARD,12/9/1964,,211,,403,,1,103,,0,32,,32,,0,12,2,1,1,5,0,1,0,0,30060,3,1,1,3,,,,,,90,1,5,3
2337,1964-080,1964-080-01,1964-080-01-01,1964-080-01-01-01,4/26/1965,4,380 U.S. 518,85 S. Ct. 1136,14 L. Ed. 2d 49,1965 U.S. LEXIS 1893,1964,1408,Warren,13 ORIG,TEXAS v. NEW JERSEY et al.,,,28,51,28,35,9,,,0,,,,,0,1,,,1,,0,0,0,0,110020,11,3,0,3,,,,,,90,1,9,0
2339,1964-082,1964-082-01,1964-082-01-01,1964-082-01-01-01,4/27/1965,1,380 U.S. 545,85 S. Ct. 1187,14 L. Ed. 2d 62,1965 U.S. LEXIS 1348,1964,1408,Warren,149,ARMSTRONG v. MANZO ET UX.,3/9/1965,,153,,153,,1,,,0,302,51,301,51,0,12,2,1,1,4,0,1,0,0,40020,4,2,0,2,,2,230,,94,90,1,9,0
2340,1964-083,1964-083-01,1964-083-01-01,1964-083-01-01-01,4/27/1965,1,380 U.S. 553,85 S. Ct. 1156,14 L. Ed. 2d 68,1965 U.S. LEXIS 1349,1964,1408,Warren,352,GENERAL MOTORS CORP. v. DISTRICT OF COLUMBIA,3/10/1965,,189,,28,10,1,117,10,0,302,10,32,,0,12,4,2,1,4,0,1,0,0,80100,8,1,0,4,,3,320,,94,90,1,7,2
2341,1964-084,1964-084-01,1964-084-01-01,1964-084-01-01-01,4/27/1965,1,380 U.S. 563,85 S. Ct. 1162,14 L. Ed. 2d 75,1965 U.S. LEXIS 2449,1964,1408,Warren,63,COMMISSIONER OF INTERNAL REVENUE v. BROWN et al.,3/3/1965,,369,,240,,1,69,,0,9,,29,,0,12,2,1,1,2,0,0,0,0,120010,12,1,0,4,,3,345,,95,81,1,6,3
2342,1964-085,1964-085-01,1964-085-01-01,1964-085-01-01-01,4/28/1965,1,380 U.S. 592,85 S. Ct. 1220,14 L. Ed. 2d 95,1965 U.S. LEXIS 2432,1964,1408,Warren,422,FEDERAL TRADE COMMISSION v. CONSOLIDATED FOODS CORP.,3/10/1965,,357,,158,,1,57,,0,27,,27,,0,12,8,1,1,3,0,1,0,0,80010,8,2,0,4,5,3,310,,81,90,1,9,0
2343,1964-086,1964-086-01,1964-086-01-01,1964-086-01-01-01,4/28/1965,1,380 U.S. 609,85 S. Ct. 1229,14 L. Ed. 2d 106,1965 U.S. LEXIS 1346,1964,1408,Warren,202,GRIFFIN v. CALIFORNIA,3/9/1965,,100,,28,6,1,,,0,302,6,300,6,0,11,2,1,1,3,0,1,0,0,10090,1,2,0,2,,2,210,,81,78,1,6,2
2344,1964-087,1964-087-01,1964-087-01-01,1964-087-01-01-01,4/28/1965,1,380 U.S. 624,85 S. Ct. 1207,14 L. Ed. 2d 116,1965 U.S. LEXIS 2227,1964,1408,Warren,134,"PARAGON JEWEL COAL CO., INC. v. COMMISSIONER OF INTERNAL REVENUE",3/8/1965,,132,,369,,1,69,,0,9,,24,,0,12,3,2,1,3,0,1,0,0,120040,12,1,0,4,,3,345,,88,90,1,7,2
